Generation,Sample,Well,Nutrient,Pump,Strain,Population,FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted,Proportion_total,
5,ur_h_bc06 F07 20 Urea DGY1706bc Experimental,,,,,,453798.5,492380.0951,198564.0826,72668.5,86774.18059,51948.95145,0.1689315722,0.1689169822,0.05079582846,0.04389435907,0.8342918929,0.1205484494,0,43468,0.9987347014,
5,mix_h_ctrl2,C09,Gln_Urea,25,DGY1315,2_copy_ctrl,249041,276664.7633,120876.1884,86525,97960.09962,47532.14986,0.3395517318,0.3593480023,0.09285094155,0.002376934475,0.176026918,0.832750247,0.0002160849523,97184,1.011370184,
5,mix_h_bc04,C10,Gln_Urea,29,DGY1706bc,Experimental,275133,315852.2434,152637.2775,46099,53492.83151,30266.49956,0.1621043649,0.1697444309,0.04539403384,0.004441247302,0.9335897997,0.06409574745,0,95919,1.002126794,
5,mix_h_bc01,D09,Gln_Urea,26,DGY1706bc,Experimental,277628,317218.5965,152072.7283,46553,53913.63013,30554.6595,0.1627007718,0.1699337081,0.04493609357,0.006633482009,0.929132473,0.06673841728,0,96631,1.002504372,
5,mix_h_bc05,D10,Gln_Urea,30,DGY1706bc,Experimental,268587,307683.4872,148143.9508,42091,49092.74758,27243.23831,0.1542939657,0.1606630868,0.0429514817,0.006381350323,0.9555373986,0.03941543935,0,96688,1.001334188,
5,mix_h_ctrl0,E08,Gln_Urea,23,DGY1,0_copy_ctrl,249382,276447.2143,122791.9913,773,1224.681028,1402.138906,0.002902925775,0.004905894256,0.006044439171,0.9993404782,0.001638499588,0,0,97040,1.000978978,
5,mix_h_bc02,E09,Gln_Urea,27,DGY1706bc,Experimental,235740,267998.1518,125281.7356,40855,46992.34553,24910.71247,0.1688028148,0.1767529956,0.0466939193,0.004599117134,0.9464941998,0.05078534031,0,97410,1.001878657,
5,mix_h_bc06,E10,Gln_Urea,31,DGY1706bc,Experimental,264320,302894.7746,144949.9642,44391,51814.64684,29334.34043,0.1636870361,0.1708237403,0.04515513375,0.007825226303,0.9325112894,0.06176670722,0,96994,1.002103223,
5,mix_h_ctrl1,F08,Gln_Urea,24,DGY500,1_copy_ctrl,272052,302104.5336,126778.6179,55192,61677.34018,29579.31407,0.1943323769,0.2066358817,0.05764526733,0.002108214768,0.8258593831,0.1784920552,0,96290,1.006459653,
5,mix_h_bc03,F09,Gln_Urea,28,DGY1706bc,Experimental,357825,395466.0975,169657.3629,54354,61525.55269,31801.30858,0.1488145785,0.1560743217,0.04166455906,0.009233872239,0.9247213556,0.067746578,0,95193,1.001701806,
5,mix_h_bc07,F10,Gln_Urea,32,DGY1706bc,Experimental,328091,367722.2677,165102.5309,52795,59940.42131,33321.39935,0.1562759338,0.1631802289,0.04796882296,0.01820969703,0.9028393169,0.08115053138,0,94565,1.002199545,
12,gln_h_ctrl0,C03,Glutamine,1,DGY1,0_copy_ctrl,236731,267990.8227,127188.0337,887,1197.89706,1254.799206,0.003449384831,0.004940578237,0.005536165245,0.9993973292,0.0009092927605,0,0,94579,1.000306622,
12,gln_h_bc02,C04,Glutamine,5,DGY1706bc,Experimental,244402.5,276391.2075,129627.0371,42996.5,47509.42116,22625.78605,0.1680924724,0.1799052339,0.05971630633,0.007740004276,0.920697028,0.07605302544,0,93540,1.004490058,
12,gln_h_bc06,C05,Glutamine,9,DGY1706bc,Experimental,240432.5,273377.3173,133987.424,36413,41769.4163,23160.5751,0.1487401552,0.1559071412,0.0456964833,0.0103174273,0.9695989516,0.02089487041,0,96148,1.000811249,
12,gln_h_ctrl1,D03,Glutamine,2,DGY500,1_copy_ctrl,264289,298566.2559,136901.8502,52761,58388.17181,26798.62668,0.1912561815,0.2037248985,0.06389113995,0.00439987612,0.8476809876,0.1544869125,0,93639,1.006567776,
12,gln_h_bc03,D04,Glutamine,6,DGY1706bc,Experimental,258902,295061.7952,141278.1253,47455,52357.78473,24804.62854,0.1752003909,0.1865717517,0.06222716939,0.009773108882,0.89723167,0.09818314892,0,92908,1.005187928,
12,gln_h_bc07,D05,Glutamine,10,DGY1706bc,Experimental,233486,264075.4166,125686.0859,38451.5,42785.94539,21059.17042,0.1588942078,0.167914013,0.051824714,0.008926702666,0.9531478923,0.04001841852,0,95556,1.002093014,
12,gln_h_ctrl2,E03,Glutamine,3,DGY1315,2_copy_ctrl,232249,263300.4767,127533.1311,76755,86678.58665,45189.16796,0.3204411339,0.339567202,0.104787689,0.01165907968,0.2564997529,0.7434687076,4.21E-05,95119,1.011669593,
12,gln_h_bc04,E04,Glutamine,7,DGY1706bc,Experimental,250584,283791.0307,134924.5309,43008,47350.87411,22860.36802,0.1639358421,0.1743961675,0.05744622311,0.01159210288,0.9301916746,0.06241409804,0,93857,1.004197875,
12,gln_h_bc08,E05,Glutamine,11,DGY1706bc,Experimental,251253.5,286432.2588,141178.7212,37111.5,42173.77593,23528.94569,0.1449100473,0.1502073086,0.04634789581,0.02420436916,0.9605539016,0.01630047381,0,95396,1.001058745,
12,gln_h_bc01,F03,Glutamine,4,DGY1706bc,Experimental,255193,288834.351,136378.1723,44531,49089.15117,23314.50856,0.1662803538,0.1779512333,0.05972055607,0.009752725339,0.9201382611,0.07422494018,0,94025,1.004115927,
